| table_schema | table_name           |
| ------------ | -------------------- |
| public       | anonymous_identities |
| public       | audit_logs           |
| public       | chat_conversations   |
| public       | chat_messages        |
| public       | chat_requests        |
| public       | chat_session_keys    |
| public       | group_bans           |
| public       | group_invites        |
| public       | group_members        |
| public       | groups               |
| public       | media_uploads        |
| public       | message_status       |
| public       | polls                |
| public       | reports              |
| public       | system_notifications |
| public       | user_blocks          |
| public       | user_encryption_keys |
| public       | user_password_resets |
| public       | user_sessions        |
| public       | user_settings        |
| public       | user_verifications   |
| public       | users                |
| public       | votes                |


| table_schema | table_name               | ordinal_position | column_name                   | data_type                | udt_name    | is_nullable | column_default                  | character_maximum_length | numeric_precision | numeric_scale |
| public       | user_sessions            | 3                | session_token                 | character varying        | varchar     | NO          | null                            | 255                      | null              | null          |
| public       | user_sessions            | 4                | device_info                   | jsonb                    | jsonb       | YES         | null                            | null                     | null              | null          |
| public       | user_sessions            | 5                | ip_address                    | inet                     | inet        | YES         | null                            | null                     | null              | null          |
| public       | user_sessions            | 6                | expires_at                    | timestamp with time zone | timestamptz | NO          | null                            | null                     | null              | null          |
| public       | user_sessions            | 7                | created_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | user_settings            | 1                | setting_id                    | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | user_settings            | 2                | user_id                       | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | user_settings            | 3                | theme                         | character varying        | varchar     | YES         | 'light'::character varying      | 10                       | null              | null          |
| public       | user_settings            | 4                | notification_enabled          | boolean                  | bool        | YES         | true                            | null                     | null              | null          |
| public       | user_settings            | 5                | email_notifications           | boolean                  | bool        | YES         | true                            | null                     | null              | null          |
| public       | user_settings            | 6                | privacy_profile_public        | boolean                  | bool        | YES         | true                            | null                     | null              | null          |
| public       | user_settings            | 7                | privacy_show_online_status    | boolean                  | bool        | YES         | true                            | null                     | null              | null          |
| public       | user_settings            | 8                | privacy_allow_anonymous_chats | boolean                  | bool        | YES         | true                            | null                     | null              | null          |
| public       | user_settings            | 9                | updated_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | user_verifications       | 1                | verification_id               | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | user_verifications       | 2                | user_id                       | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | user_verifications       | 3                | verification_type             | character varying        | varchar     | NO          | null                            | 20                       | null              | null          |
| public       | user_verifications       | 4                | otp_code                      | character varying        | varchar     | NO          | null                            | 6                        | null              | null          |
| public       | user_verifications       | 5                | verification_token            | character varying        | varchar     | YES         | null                            | 255                      | null              | null          |
| public       | user_verifications       | 6                | is_used                       | boolean                  | bool        | YES         | false                           | null                     | null              | null          |
| public       | user_verifications       | 7                | expires_at                    | timestamp with time zone | timestamptz | NO          | null                            | null                     | null              | null          |
| public       | user_verifications       | 8                | created_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | users                    | 1                | user_id                       | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | users                    | 2                | roll_no                       | character varying        | varchar     | NO          | null                            | 10                       | null              | null          |
| public       | users                    | 3                | name                          | character varying        | varchar     | NO          | null                            | 100                      | null              | null          |
| public       | users                    | 4                | gender                        | character varying        | varchar     | NO          | null                            | 10                       | null              | null          |
| public       | users                    | 5                | branch                        | character varying        | varchar     | NO          | null                            | 50                       | null              | null          |
| public       | users                    | 6                | password_hash                 | character varying        | varchar     | NO          | null                            | 255                      | null              | null          |
| public       | users                    | 7                | dp_url                        | text                     | text        | YES         | null                            | null                     | null              | null          |
| public       | users                    | 8                | dob                           | date                     | date        | YES         | null                            | null                     | null              | null          |
| public       | users                    | 9                | bio                           | text                     | text        | YES         | null                            | null                     | null              | null          |
| public       | users                    | 10               | is_verified                   | boolean                  | bool        | YES         | false                           | null                     | null              | null          |
| public       | users                    | 11               | is_active                     | boolean                  | bool        | YES         | true                            | null                     | null              | null          |
| public       | users                    | 12               | last_login                    | timestamp with time zone | timestamptz | YES         | null                            | null                     | null              | null          |
| public       | users                    | 13               | created_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | users                    | 14               | updated_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | votes                    | 1                | vote_id                       | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | votes                    | 2                | poll_id                       | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | votes                    | 3                | user_id                       | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | votes                    | 4                | anonymous_identity_id         | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | votes                    | 5                | vote_value                    | boolean                  | bool        | NO          | null                            | null                     | null              | null          |
| public       | votes                    | 6                | voted_at                      | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |



| constraint_name                                | from_table                  | from_column            | to_table                    | to_column       |
| ---------------------------------------------- | --------------------------- | ---------------------- | --------------------------- | --------------- |
| anonymous_identities_conversation_id_fkey      | public.anonymous_identities | conversation_id        | public.chat_conversations   | conversation_id |
| anonymous_identities_group_id_fkey             | public.anonymous_identities | group_id               | public.groups               | group_id        |
| anonymous_identities_target_user_id_fkey       | public.anonymous_identities | target_user_id         | public.users                | user_id         |
| anonymous_identities_user_id_fkey              | public.anonymous_identities | user_id                | public.users                | user_id         |
| audit_logs_user_id_fkey                        | public.audit_logs           | user_id                | public.users                | user_id         |
| chat_conversations_anonymous_initiator_id_fkey | public.chat_conversations   | anonymous_initiator_id | public.users                | user_id         |
| chat_conversations_blocked_by_user_id_fkey     | public.chat_conversations   | blocked_by_user_id     | public.users                | user_id         |
| chat_conversations_user1_id_fkey               | public.chat_conversations   | user1_id               | public.users                | user_id         |
| chat_conversations_user2_id_fkey               | public.chat_conversations   | user2_id               | public.users                | user_id         |
| chat_messages_anonymous_identity_id_fkey       | public.chat_messages        | anonymous_identity_id  | public.anonymous_identities | identity_id     |
| chat_messages_conversation_id_fkey             | public.chat_messages        | conversation_id        | public.chat_conversations   | conversation_id |
| chat_messages_group_id_fkey                    | public.chat_messages        | group_id               | public.groups               | group_id        |
| chat_messages_parent_message_id_fkey           | public.chat_messages        | parent_message_id      | public.chat_messages        | message_id      |
| chat_messages_sender_id_fkey                   | public.chat_messages        | sender_id              | public.users                | user_id         |
| fk_chat_messages_session_key                   | public.chat_messages        | key_id                 | public.chat_session_keys    | session_key_id  |
| chat_requests_anonymous_identity_id_fkey       | public.chat_requests        | anonymous_identity_id  | public.anonymous_identities | identity_id     |
| chat_requests_receiver_id_fkey                 | public.chat_requests        | receiver_id            | public.users                | user_id         |
| chat_requests_sender_id_fkey                   | public.chat_requests        | sender_id              | public.users                | user_id         |
| fk_chat_requests_anonymous_identity            | public.chat_requests        | anonymous_identity_id  | public.anonymous_identities | identity_id     |
| chat_session_keys_conversation_id_fkey         | public.chat_session_keys    | conversation_id        | public.chat_conversations   | conversation_id |
| chat_session_keys_encrypted_for_user_id_fkey   | public.chat_session_keys    | encrypted_for_user_id  | public.users                | user_id         |
| chat_session_keys_group_id_fkey                | public.chat_session_keys    | group_id               | public.groups               | group_id        |
| group_bans_banned_by_fkey                      | public.group_bans           | banned_by              | public.users                | user_id         |
| group_bans_group_id_fkey                       | public.group_bans           | group_id               | public.groups               | group_id        |
| group_bans_user_id_fkey                        | public.group_bans           | user_id                | public.users                | user_id         |
| group_invites_group_id_fkey                    | public.group_invites        | group_id               | public.groups               | group_id        |
| group_invites_invited_by_fkey                  | public.group_invites        | invited_by             | public.users                | user_id         |
| group_invites_invitee_id_fkey                  | public.group_invites        | invitee_id             | public.users                | user_id         |
| group_members_anonymous_identity_id_fkey       | public.group_members        | anonymous_identity_id  | public.anonymous_identities | identity_id     |
| group_members_group_id_fkey                    | public.group_members        | group_id               | public.groups               | group_id        |
| group_members_user_id_fkey                     | public.group_members        | user_id                | public.users                | user_id         |
| groups_created_by_fkey                         | public.groups               | created_by             | public.users                | user_id         |
| media_uploads_conversation_id_fkey             | public.media_uploads        | conversation_id        | public.chat_conversations   | conversation_id |
| media_uploads_group_id_fkey                    | public.media_uploads        | group_id               | public.groups               | group_id        |
| media_uploads_message_id_fkey                  | public.media_uploads        | message_id             | public.chat_messages        | message_id      |
| media_uploads_user_id_fkey                     | public.media_uploads        | user_id                | public.users                | user_id         |
| message_status_message_id_fkey                 | public.message_status       | message_id             | public.chat_messages        | message_id      |
| message_status_user_id_fkey                    | public.message_status       | user_id                | public.users                | user_id         |
| polls_created_by_fkey                          | public.polls                | created_by             | public.users                | user_id         |
| polls_group_id_fkey                            | public.polls                | group_id               | public.groups               | group_id        |
| polls_parent_poll_id_fkey                      | public.polls                | parent_poll_id         | public.polls                | poll_id         |
| polls_target_user_id_fkey                      | public.polls                | target_user_id         | public.users                | user_id         |
| reports_reported_group_id_fkey                 | public.reports              | reported_group_id      | public.groups               | group_id        |
| reports_reported_message_id_fkey               | public.reports              | reported_message_id    | public.chat_messages        | message_id      |
| reports_reported_user_id_fkey                  | public.reports              | reported_user_id       | public.users                | user_id         |
| reports_reporter_user_id_fkey                  | public.reports              | reporter_user_id       | public.users                | user_id         |
| reports_resolved_by_fkey                       | public.reports              | resolved_by            | public.users                | user_id         |
| system_notifications_user_id_fkey              | public.system_notifications | user_id                | public.users                | user_id         |
| user_blocks_blocked_id_fkey                    | public.user_blocks          | blocked_id             | public.users                | user_id         |
| user_blocks_blocker_id_fkey                    | public.user_blocks          | blocker_id             | public.users                | user_id         |
| user_encryption_keys_user_id_fkey              | public.user_encryption_keys | user_id                | public.users                | user_id         |
| user_password_resets_user_id_fkey              | public.user_password_resets | user_id                | public.users                | user_id         |
| user_sessions_user_id_fkey                     | public.user_sessions        | user_id                | public.users                | user_id         |
| user_settings_user_id_fkey                     | public.user_settings        | user_id                | public.users                | user_id         |
| user_verifications_user_id_fkey                | public.user_verifications   | user_id                | public.users                | user_id         |
| votes_poll_id_fkey                             | public.votes                | poll_id                | public.polls                | poll_id         |
| votes_user_id_fkey                             | public.votes                | user_id                | public.users                | user_id         |

