| table_schema | table_name           |
| ------------ | -------------------- |
| public       | anonymous_identities |
| public       | audit_logs           |
| public       | chat_conversations   |
| public       | chat_messages        |
| public       | chat_requests        |
| public       | chat_session_keys    |
| public       | group_bans           |
| public       | group_invites        |
| public       | group_members        |
| public       | groups               |
| public       | media_uploads        |
| public       | message_status       |
| public       | polls                |
| public       | reports              |
| public       | system_notifications |
| public       | user_blocks          |
| public       | user_encryption_keys |
| public       | user_password_resets |
| public       | user_sessions        |
| public       | user_settings        |
| public       | user_verifications   |
| public       | users                |
| public       | votes                |


| table_schema | table_name               | ordinal_position | column_name                   | data_type                | udt_name    | is_nullable | column_default                  | character_maximum_length | numeric_precision | numeric_scale |
| public       | chat_messages            | 11               | media_mime_type               | character varying        | varchar     | YES         | null                            | 100                      | null              | null          |
| public       | chat_messages            | 12               | thumbnail_url                 | text                     | text        | YES         | null                            | null                     | null              | null          |
| public       | chat_messages            | 13               | is_anonymous                  | boolean                  | bool        | YES         | false                           | null                     | null              | null          |
| public       | chat_messages            | 14               | anonymous_identity_id         | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | chat_messages            | 15               | is_edited                     | boolean                  | bool        | YES         | false                           | null                     | null              | null          |
| public       | chat_messages            | 16               | is_deleted                    | boolean                  | bool        | YES         | false                           | null                     | null              | null          |
| public       | chat_messages            | 17               | deleted_at                    | timestamp with time zone | timestamptz | YES         | null                            | null                     | null              | null          |
| public       | chat_messages            | 18               | parent_message_id             | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | chat_messages            | 19               | encryption_key_version        | integer                  | int4        | YES         | 1                               | null                     | 32                | 0             |
| public       | chat_messages            | 20               | key_id                        | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | chat_messages            | 21               | created_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | chat_messages            | 22               | updated_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | chat_requests            | 1                | request_id                    | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | chat_requests            | 2                | sender_id                     | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | chat_requests            | 3                | receiver_id                   | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | chat_requests            | 4                | request_type                  | character varying        | varchar     | YES         | 'normal'::character varying     | 20                       | null              | null          |
| public       | chat_requests            | 5                | anonymous_identity_id         | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | chat_requests            | 6                | status                        | character varying        | varchar     | YES         | 'pending'::character varying    | 20                       | null              | null          |
| public       | chat_requests            | 7                | expires_at                    | timestamp with time zone | timestamptz | YES         | (now() + '24:00:00'::interval)  | null                     | null              | null          |
| public       | chat_requests            | 8                | created_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | chat_requests            | 9                | updated_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | chat_session_keys        | 1                | session_key_id                | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | chat_session_keys        | 2                | conversation_id               | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | chat_session_keys        | 3                | group_id                      | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | chat_session_keys        | 4                | aes_key_encrypted             | text                     | text        | NO          | null                            | null                     | null              | null          |
